;id;nome_pt-br;name_en-us
17;C0226B ;Abóbora, moranga, s/ casca, s/ semente, cozida, drenada, c/ óleo de soja, c/ sal,  ; Pumpkin, squash, peeled, seedless, cooked, drained, with soy oil, with salt 
18;C0225B ;Abóbora, moranga, s/ casca, s/ semente, cozida, drenada, c/ óleo de soja, s/ sal,  ; Pumpkin, squash, peeled, seedless, cooked, drained, with soy oil, unsalted 
19;C0166B ;Abóbora, moranga, s/ casca, s/ semente, cozida, drenada, s/ óleo, c/ sal,  ; Pumpkin, squash, peeled, seedless, cooked, drained, without oil, with salt 
20;C0165B ;Abóbora, moranga, s/ casca, s/ semente, cozida, drenada, s/ óleo, s/ sal,  ; Pumpkin, squash, peeled, seedless, cooked, drained, without oil, unsalted 
21;C0004B ;Abóbora, moranga, s/ casca, s/ sementes, crua, Curcubita spp., ; Pumpkin, squash, peeled, seedless, raw 
22;C0064B ;Abóbora, paulista, crua, Cucurbita maxima Duchesne, ; Pumpkin, Squash, raw 
23;C0228B ;Abóbora, pescoço, s/ casca, s/ semente, cozida, drenada, s/ óleo, c/ sal,  ; Pumpkin, squash, winter, peeled, seedless, cooked, drained, without soy oil, with salt 
24;C0227B ;Abóbora, pescoço, s/ casca, s/ semente, cozida, drenada, s/ óleo, s/ sal,  ; Pumpkin, squash, winter, peeled, seedless, cooked, drained, without soy oil, unsalted 
25;C0005B ;Abóbora, pescoço, s/ casca, s/ sementes, crua, Cucurbita moschata, ; Pumpkin, squash, winter, peeled, seedless, raw 
26;C0001B ;Abóbora, s/ casca, s/ sementes, crua, Curcubita spp., ; Pumpkin, squash,  peeled, seedless, raw 
27;C0725B ;Abobrinha recheada, c/ sal, (abobrinha grelhada, c/ muçarela, carne bovina, patinho moído, refogado, c/ molho de tomate (tomate, c/ óleo, cebola e alho), c/ sal),  ; Stuffed zucchini, with salt, (grilled zucchini, with mozzarella, meat beef - knucle ground, braised, with tomato sauce (tomato, with oil, onion and garlic), with salt) 
28;C0266B ;Abobrinha, italiana, c/ casca, à milanesa (farinha de trigo, ovo e farinha de rosca), frita em imersão, c/ sal,  ; Squash, Zucchini, unpeeled, breaded (wheat flour, egg and breadcrumbs), deep fry, whit salt 
29;C0265B ;Abobrinha, italiana, c/ casca, à milanesa (farinha de trigo, ovo e farinha de rosca), frita em imersão, s/ sal,  ; Squash, Zucchini, unpeeled, breaded (wheat flour, egg and breadcrumbs), deep fry, unsalted 
30;C0232B ;Abobrinha, italiana, c/ casca, cozida, drenada, c/ óleo de soja, c/ sal,  ; Squash, Zucchini, unpeeled, cooked, drained, with soy oil, with salt 
31;C0231B ;Abobrinha, italiana, c/ casca, cozida, drenada, c/ óleo de soja, s/ sal,  ; Squash, Zucchini, unpeeled, cooked, drained, with soy oil, unsalted 
32;C0152B ;Abobrinha, italiana, c/ casca, cozida, drenada, s/ óleo, c/ sal,  ; Squash, Zucchini, unpeeled, cooked, drained, without soy oil, with salt 
33;C0040B ;Abobrinha, italiana, c/ casca, cozida, drenada, s/ óleo, s/ sal, Curcubita pepo L., ; Squash, Zucchini, unpeeled, boiled, drained, without oil, unsalted 
34;C0006B ;Abobrinha, italiana, c/ casca, crua, Cucurbita pepo L., ; Squash, Zucchini, Italian, unpeeled, raw 
35;C0264B ;Abobrinha, italiana, c/ casca, grelhada, s/ óleo, c/ sal,  ; Squash, Zucchini, unpeeled, grilled, without soy oil, with salt 
36;C0263B ;Abobrinha, italiana, c/ casca, grelhada, s/ óleo, s/ sal,  ; Squash, Zucchini, unpeeled, grilled, without soy oil, unsalted 
37;C0153B ;Abobrinha, italiana, c/ casca, refogada (c/ óleo, cebola e alho), c/ sal,  ; Squash, Zucchini, unpeeled braised (with oil, onion and garlic), with salt 
38;C0104B ;Abobrinha, italiana, c/ casca, refogada (c/ óleo, cebola e alho), s/ sal, Curcubita pepo L., ; Zucchini, squash, braised (with oil, onion and garlic), unsalted 
39;C0800B ;Açafrão, pistilo, in natura, Crocus sativus, ; Saffron, pistil, raw 
40;C0003C ;Açaí, polpa (média de amostras), Euterpe oleracea Mart., ; Brazilian fruit, ´açai´, pulp 
41;C0201C ;Açaí, polpa, c/ xarope de guaraná, c/ cupuaçu, polpa,  ; Brazilian fruit ´açaí´, pulp, with guarana syrup and brazilian fruit ´cupuaçu´, pulp 
42;C0177C ;Açaí, polpa, c/ xarope de guaraná, glucose, c/ granola caseira, (aveia em flocos, flocos de milho, semente de chia e linhaça, coco, mel, oleagionosas - noz, castanha de caju e Brasil, amêndoa e avelã, damasco seco, uva passa, c/ óleo de milho, c/ canela),  ; Brazilian fruit ´açaí´, pulp, with guarana syrup, with homemade granola (, flakes oat, corn flakes, chia and flax seed, coconut, honey, oilseeds - nut, cashew and Brazil nuts, almond and hazelnut, dried apricot, raisin, with corn oil, with cinnamon) 
43;C0095C ;Açaí, polpa, com xarope de guaraná e glucose,  ; Brazilian fruit ´açaí´, pulp, with guarana and glucose syrup 
44;C0185C ;Açaí, solteiro, polpa,  ; Brazilian fruit, ´açaí, solteiro´, pulp 
45;C0203T ;Acarajé, c/ sal, (feijão fradinho, camarão seco, pimenta malagueta, frito, c/ azeite de dendê, cebola, c/ sal),  ; Brazilian recipe, with black eye bean and dried shrimp, with salt, (black eye bean, dried shrimp, chilli pepper, onion, fried in palm oil, with salt) 
46;C0061T ;Acarajé, s/ sal, (feijão fradinho, camarão seco, pimenta malagueta, frito, c/ azeite de dendê, cebola,  s/ sal),  ; Brazilian recipe, with black eye bean and dried shrimp, unsalted, (black eye bean, dried shrimp, chilli pepper, onion, fried in palm oil, unsalted) 
47;C0212B ;Acelga, cozida, drenada, s/ óleo, c/ sal,  ; Chard, boiled, drained, with oil, with salt 
48;C0211B ;Acelga, cozida, drenada, s/ óleo, s/ sal,  ; Chard, boiled, drained, without oil, unsalted 
49;C0007B ;Acelga, crua,  ; Chard, raw 
50;C0202B ;Acelga, refogada (c/ óleo, cebola e alho), c/ sal,  ; Chard, braised (with oil, onion and garlic), with salt 
51;C0201B ;Acelga, refogada, (c/ óleo, cebola e alho), s/ sal,  ; Chard, braised (with oil, onion and garlic), unsalted 
52;C0004C ;Acerola, madura, polpa, Malpighia spp., ; Brazilian fruit, ´acerola´, mature, pulp 
53;C0129K ;"Achocolatado,  ""Ovomaltine"", Ovomaltine,  "; Chocolate powder 
54;C0002K ;Achocolatado, em pó, Nescau,  ; Chocolate powder 
55;C0003K ;Achocolatado, em pó, Toddy,  ; Chocolate powder 
56;C0001K ;Achocolatado, em pó (média diferentes amostras),  ; Chocolate powder (average of several samples) 
57;C0101N ;Achocolatado, em pó, sem adição de açúcar,  ; Cocoa, dry mix, without sugar 
58;C0004K ;Açúcar (média de diferentes tipos),  ; Sugar (mean of the different types) 
59;C0005K ;Açúcar, cristal,  ; Sugar, granulated 
60;C0006K ;Açúcar, mascavo,  ; Sugar, brown 
61;C0007K ;Açúcar, refinado (média de diferentes amostras),  ; Sugar powered (mean of the several samples) 
62;C0090N ;Adoçante, aspartame, em pó,  ; Sweeteners, aspartame, powder 
63;C0042N ;Adoçante, sacarina, em pó,  ; Sweeteners, saccharin, powder 
64;C0056N ;Adoçante, sucralose, em pó,  ; Sweeteners, sucralose, powder 
65;C0220B ;Agrião, cozido, drenado, c/ óleo de soja, c/ sal,  ; Watercress, boiled, drained, with soy oil, with salt 
66;C0219B ;Agrião, cozido, drenado, c/ óleo de soja, s/ sal,  ; Watercress, boiled, drained, with soy oil, unsalted 
67;C0914B ;Agrião, cozido, drenado, s/ óleo, c/ sal,  ; Watercress, cooked, drained, whitout oil, whit salt 
68;C0162B ;Agrião, cozido, drenado, s/ óleo, s/ sal,  ; Watercress, boiled, drained, without oil, unsalted 
69;C0008B ;Agrião, cru, Nasturtium officinale, ; Watercress, raw 
70;C0214B ;Aipo (salsão), cozido, drenado, s/ óleo, c/ sal,  ; Celery, boiled, drained, without oil, with salt 
71;C0213B ;Aipo (salsão), cozido, drenado, s/ óleo, s/ sal,  ; Celery, boiled, drained, without oil, unsalted 
72;C0065B ;Aipo (salsão), cru, Apium graveolens L., ; Celery, raw 
73;C0216B ;Aipo (salsão), refogado (c/ óleo, cebola e alho), c/ sal,  ; Celery, braised (with oil, onion and garlic), with salt 
74;C0215B ;Aipo (salsão), refogado (c/ óleo, cebola e alho), s/ sal,  ; Celery, braised (with oil, onion and garlic), unsalted 
75;C0915B ;Alcachofra, cozida, drenada, s/ óleo, c/ sal, Cynara scolymus, ; Artichokes, cooked, drained, without oil, with salt 
76;C0460B ;Alcachofra, cozida, drenada, s/ sal, Cynara scolymus, ; Artichokes, cooked, drained, without salt 
77;C0703B ;Alcaparra, conserva, Capparis spinosa, ; Capers, canned 
78;C0824B ;Alecrim, seco, Rosmarinus officinalis, ; Rosemary, dried 
79;C0063B ;Alface, americana, crua, Lactuca sativa L., ; Lettuce, Iceberg (crisphead), raw 
80;C0060B ;Alface, crespa, crua, Lactuca sativa L., ; Lettuce, crinkly, raw 
81;C0009B ;Alface, crua, Lactuca sativa L., ; Lettuce, raw 
82;C0061B ;Alface, lisa, crua, Lactuca sativa L., ; Lettuce, butterhead, raw 
83;C0062B ;Alface, roxa, crua, Lactuca sativa L., ; Lettuce, Lollo rossa, raw 
84;C0067B ;Alfavaca, crua, Ocimum basilicum L., ; Basil, ´Alfavaca´, raw 
85;C1061B ;Alga, ágar ágar, em pó,  ; Seaweed, agar agar, powder 
86;C0115B ;Alho, cozido, s/ óleo, s/ sal,  ; Garlic, cooked, without oil, unsalted 
87;C0010B ;Alho, cru, Allium sativum L., ; Garlic, raw 
88;C1074B ;Alho, em pó, Allium sativum L., ; Garlic, powder 
89;C0113B ;Alho, refogado (c/ óleo de soja), s/ sal,  ; Garlic, braised (wiht soy oil), unsalted 
90;C0714B ;Alho-poró, cozido, drenado, s/ óleo, s/ sal, Allium ampeloprasum L. var. porrum, ; Leek, cooked, drained, without oil, unsalted 
91;C0068B ;Alho-poró, cru, Allium ampeloprasum L. var. porrum, ; Leek, raw 
92;C0210B ;Almeirão, cozido, drenado, s/ óleo, c/ sal,  ; Chicory greens, cooked, without oil, with salt 
93;C0209B ;Almeirão, cozido, drenado, s/ óleo, s/ sal,  ; Chicory greens, cooked, without oil, unsalted 
94;C0011B ;Almeirão, cru, Cichorium intybus, ; Chicory greens, raw 
95;C0149B ;Almeirão, refogado (c/ óleo, cebola e alho), c/ sal,  ; Chicory greens, braised (with oil, onion and garlic), with salt 
96;C0105B ;Almeirão, refogado (c/ óleo, cebola e alho), s/ sal, Cichorium intybus, ; Chicory greens, braised (with oil, onion and garlic), unsalted 
97;C0206T ;Almôndega de soja, assada, c/ molho de tomate, c/ sal, (proteína texturarizada de soja (hidratada com caldo de legumes), farinha de rosca, farinha de trigo, ovo, salsinha e cebolinha, pimenta-do-reino, c/ molho de tomate (tomate, c/ óleo, cebola e alho), c/ sal),  ; Soy meatball, roasted, with tomato sauce, with salt, (soy protein (hydrated with vegetable broth), breadcrumbs, wheat flour, egg, parsley and chives, black pepper, with tomato sauce (tomato, with oil, onion and garlic), with salt) 
98;C0205T ;Almôndega de soja, assada, c/ sal, (proteína texturarizada de soja (hidratada com caldo de legumes), farinha de rosca, farinha de trigo, ovo, cheiro verde, cebola e alho, pimenta-do-reino, c/ sal),  ; Soy meatball, roasted, with salt, (soy protein (hydrated with vegetable broth), breadcrumbs, wheat flour, egg, parsley and chives, onion and garlic, black pepper, with salt) 
99;C0204T ;Almôndega de soja, assada, s/ sal, (proteína texturarizada de soja (hidratada com caldo de legumes), farinha de rosca, farinha de trigo, ovo, cheiro verde, cebola e alho, pimenta-do-reino, s/ sal),  ; Soy meatball, roasted, unsalted, (soy protein (hydrated with vegetable broth), breadcrumbs, wheat flour, egg, parsley and chives, onion and garlic, black pepper, unsalted) 
100;C0887F ;Almôndega, ao sugo (molho de tomate), (carne, boi, frita, c/ molho de tomate (tomate, c/ óleo, cebola e alho, c/ sal),  ; Meatballs, with tomato sauce, (meet, beef, fried, with tomato sauce (with oil, onion and garlic), with salt) 
101;C0002F ;Almôndega, carne, ave, industrializada, crua, c/ sal,  ; Meatballs, poultry, raw, induztrialized, with salt 
102;C0003F ;Almôndega, carne, boi, crua, c/ sal, Sadia,  ; Meatballs, beef, raw, with salt 
103;C0001F ;Almôndega, carne, boi, industrializada, crua, c/ sal,  ; Meatballs, beef, raw, induztrialized, with salt 
104;C0004F ;Almôndega, carne, boi, industrializada, frita, c/ sal,  ; Meatballs, beef, industrialized, fried in oil, with salt 
105;C0005F ;Almôndega, carne, frango, crua, c/ sal, Sadia,  ; Meaballs, poultry, raw, with salt 
106;C0401A ;Amaranto, grão, cozido, s/ óleo, s/ sal, Amaranthus cruentus L., ; Amaranthus, grain, cooked, without oil and salt 
107;C0400A ;Amaranto, grão, cru, Amaranthus cruentus L., ; Amaranthus, grain, raw 
108;C0005C ;Ameixa, c/ casca, in natura, Prunus domestica, ; Plum, with peel, raw 
109;C0186C ;Ameixa, em calda, enlatada, drenada,  ; Plum, in syrup, canned, drained 
110;C0181C ;Ameixa, seca,  ; Prune 
111;C0011U ;Amêndoa, crua, s/ sal, Prunua amygdalus L., ; Nuts, almond, unsalted 
112;C0001U ;Amêndoa, torrada, c/ sal, Arábic amygdalu var. Dulcis, ; Almond, toasted, with salt 
113;C0018U ;Amêndoa, torrada, caramelizada,  ; Almond, toasted, caramelized 
114;C0192T ;Amendoim, caramelizado,  ; Peanut, caramelized 
115;C0020T ;Amendoim, grão, cru, Arachis hypogaea L., ; Peanut, grain, raw 
116;C0021T ;Amendoim, torrado, c/ sal, Arachis hypogaea L., ; Peanut, roasted, with salt 
117;C0170C ;Amora preta, in natura, Rubus ssp., ; Blackberry, raw 
118;C0669A ;Angu à baiana, polenta, c/ molho bolonhesa, c/ sal, (polenta, c/ molho bolonhesa (carne bovina - patinho moído, tomate, cebola, alho, c/ óleo de soja), c/ sal),  ; Brazilian recipe, with polenta, with bolognese sauce, with salt, (polenta, with bolognese sauce (meat beef - knucle ground, tomato, onion, garlic, with soy oil), with salt) 
119;C0816B ;Angu a baiana, polenta, c/ molho de carne bovina, c/ sal, polenta, c/ molho de carne bovina (acém, coração, língua, rabada, bucho), c/ molho de tomate (tomate, c/ óleo, cebola e alho), pimentão, c/ óleo, cebola e alho, c/ pimenta-do-reino, c/ sal,  ; Brazilian recipe, with polenta, with beef sauce, with salt, (polenta, with beef sauce, (chuck, heart, tongue, tail, rumen), with tomato sauce (tomato, with oil, onion and garlic, bell pepper, with oil, onion and garlic, with black pepper, with salt) 
120;C0006F ;Apresuntado, cozido (média de diferentes marcas),  ; Ham, pork, cooked (average of several brands) 
121;C0007F ;Apresuntado, fatiado, cozido, Sadia,  ; Ham, pork, sliced, cooked 
122;C0008F ;Apresuntado, metro, cozido, Seara,  ; Ham, pork, cooked 
123;C0009F ;Apresuntado, retangular, cozido, Seara,  ; Ham, pork, cooked 
124;C0228C ;Araça, polpa, com casca, sem semente, in natura, Psidium cattleianum, ; Brazilian fruit ´Araça´, pulp, with shell, seedless, raw 
125;C0506A ;Arroz à grega, c/ arroz integral, c/ sal, (arroz integral, c/ cenoura, vagem, pimentão verde, uva passa, c/ óleo, cebola e alho, c/ sal),  ; Brazilian recipe, with brown rice, with salt, (brown rice, with carrot, green bean, green bell pepper, raisin, with oil, onion and garlic, with salt) 
126;C0858A ;Arroz à grega, c/ arroz integral, s/ sal, (arroz integral, c/ cenoura, vagem, pimentão verde, uva passa, c/ óleo, cebola e alho, s/ sal),  ; Brazilian recipe, with brown rice, unsalted, (brown rice, with carrot, green bean, green bell pepper, raisin, with oil, onion and garlic, unsalted) 
127;C0503A ;Arroz à grega, c/ arroz polido, c/ sal, (arroz polido, c/ cenoura, vagem, pimentão verde, uva passa, c/ óleo, cebola e alho, c/ sal),  ; Brazilian recipe, with white rice, with salt, (white rice, with carrot, green bean, green bell pepper, raisin, with oil, onion and garlic, with salt) 
128;C0504A ;Arroz à grega, c/ arroz polido, s/ sal, (arroz polido, c/ cenoura, vagem, pimentão verde, uva passa, c/ óleo, cebola e alho, s/ sal),  ; Brazilian recipe, with white rice, unsalted, (white rice, with carrot, green bean, green bell pepper, raisin, with oil, onion and garlic, unsalted) 
129;C0716A ;Arroz ao molho pardo (arroz de cabidela), c/ arroz polido, c/ sal, (arroz polido, frango, sangue de frango, cheiro verde, c/ vinagre de maçã, c/ óleo, cebola e alho, c/ sal),  ; Brazilian recipe, with white rice, with blood chicken, with salt, (white rice, chicken, blood chicken, parsley and chive, with apple vinegar, with oil, onion and garlic, with salt) 
130;C0511A ;Arroz caipira, c/ arroz integral, c/ sal, (arroz integral, c/ frango, tomate, toucinho defumado (bacon), c/ óleo, cebola e alho, c/ sal),  ; Brazilian recipe, with chicken, with brown rice, with salt, (brown rice, with chicken, bacon, tomato, with oil, onion and garlic, with salt 
131;C0512A ;Arroz caipira, c/ arroz integral, s/ sal, (arroz integral, c/ frango, tomate, toucinho defumado (bacon), c/ óleo, cebola e alho, s/ sal),  ; Brazilian recipe, with chicken, with brown rice, unsalted, (brown rice, with chicken, bacon, tomato, with oil, onion and garlic, unsalted) 
132;C0509A ;Arroz caipira, c/ arroz polido, c/ sal, (arroz polido, c/ frango, tomate, toucinho defumado (bacon), c/ óleo, cebola e alho, c/ sal),  ; Brazilian recipe, with chicken, with white rice, with salt, (white rice, with chicken, bacon, tomato, with oil, onion and garlic, with salt 
133;C0510A ;Arroz caipira, c/ arroz polido, s/ sal, (arroz polido, c/ frango, tomate, toucinho defumado (bacon), c/ óleo, cebola e alho, s/ sal),  ; Brazilian recipe, with chicken, with white rice, unsalted, (white rice, with chicken, bacon, tomato, with oil, onion and garlic, unsalted) 
134;C0887A ;Arroz carreteiro, c/ sal, (arroz branco polido, charque dessalgado, cebola, tomate, salsinha, c/ óleo de soja, c/ sal),  ; Brazilian recipe, with rice and jerked beef, with salt, (white rice, jerked beef, onion, tomato, parsley, with soy oil, with salt) 
135;C0187A ;Arroz carreteiro, s/ sal, (arroz branco polido, charque (carne seca, carne de sol, jaba) dessalgado, cebola, tomate, salsinha, c/ óleo de soja, s/ sal),  ; Brazilian recipe, with rice and jerked beef, unsalted, (white rice, jerked beef, onion, tomato, parsley, with soy oil, unsalted) 
136;C0514A ;Arroz chop suey, c/ arroz integral, c/ molho shoyu, (arroz integral, c/ presunto, cenoura, ovos mexidos, c/ óleo, cebola e alho, c/ molho shoyu),  ; Chop suey rice, whit brown rice, with shoyu sauce, (brown rice, with ham, carrot, scrambled egg, with oil, onion and garli, spice, with shoyu sauce) 
137;C0515A ;Arroz chop suey, c/ arroz integral, s/ sal, (arroz integral, c/ presunto, cenoura, ovos mexidos, c/ óleo, cebola e alho, s/ sal),  ; Chop suey rice, with brown rice, unsalted, (brown rice, with ham, carrot, scrambled egg, with oil, onion and garlic, unsalted) 
138;C0717A ;Arroz chop suey, c/ arroz polido, c/ molho shoyu, (arroz polido, c/ presunto, cenoura, ovos mexidos, c/ óleo, cebola e alho, c/ molho shoyu),  ; Chop suey rice, with white rice, with shoyu sauce, (white rice,with ham, carrot, scrambled egg, with oil and spice, with shoyu sauce) 
139;C0513A ;Arroz chop suey, c/ arroz polido, s/ sal, (arroz polido, c/ presunto, cenoura, ovos mexidos, c/ óleo, cebola e alho, s/ sal),  ; Chop suey rice, with white rice, unsalted, (white rice, with ham, carrot, scrambled egg, with oil, onion and garlic, unsalted) 
140;C1025A ;Arroz com abobrinha, c/ óleo, cebola e alho, c/ sal,  ; Rice with zucchini, with oil, onion and garlic, with salt 
141;C1026A ;Arroz com abobrinha, c/ óleo, cebola e alho, s/ sal,  ; Rice with zucchini, with oil, onion and garlic, unsalted 
142;C0931A ;Arroz com alho poró, c/ arroz integral, s/ sal, (arroz , alho integral, poró, c/ óleo de soja, s/ sal),  ; Rice with celery, with brown rice, unsalted, (brown rice, celery, with soy oil, unsalted) 
143;C0929A ;Arroz com alho poró, c/ arroz polido, c/ sal, (arroz polido, alho poró, c/ óleo de soja, c/ sal),  ; Rice with celery, with white rice, with salt, (white rice, celery, with soy oil, with salt) 
144;C0930A ;Arroz com alho poró, c/ arroz polido, s/ sal, (arroz polido, alho poró, c/ óleo de soja, s/ sal),  ; Rice with celery, with white rice, unsalted, (white rice, celery, with soy oil, unsalted) 
145;C0547A ;Arroz com brócolis, c/ arroz integral, c/ sal, (arroz integral, c/ brócolis, c/ óleo, cebola e alho, c/ sal),  ; Rice with broccoli, with brown rice, with salt, (brown rice, with broccoli, with oil, onion and garlic, with salt) 
146;C0548A ;Arroz com brócolis, c/ arroz integral, s/ sal, (arroz integral, c/ brócolis, c/ óleo, cebola e alho, s/ sal),  ; Rice with broccoli, with brown rice, unsalted, (brown rice, with broccoli, with oil, onion and garlic, unsalted) 
147;C0545A ;Arroz com brócolis, c/ arroz polido, c/ sal, (arroz polido, c/ brócolis, c/ óleo, cebola e alho, c/ sal),  ; Rice with broccoli, with white rice, with salt, (white rice, with broccoli, with oil, onion and garlic, with salt) 
148;C0546A ;Arroz com brócolis, c/ arroz polido, s/ sal, (arroz polido, c/ brócolis, c/ óleo, cebola e alho, s/ sal),  ; Rice with broccoli, with white rice, unsalted, (white rice, with broccoli, with oil, onion and garlic, unsalted) 
149;C1029A ;Arroz com carne bovina, c/ arroz polido, c/ sal, (arroz polido, carne bovina músculo, tomate, salsinha, cebolinha, c/ óleo, cebola e alho, c/ sal),  ; Rice with meat beef, with white rice, with salt, (white rice, meat beef (shin), tomato, parsley, chives, with oil, onion and garlic, with salt) 
150;C1030A ;Arroz com carne bovina, c/ arroz polido, s/ sal, (arroz polido, carne bovina músculo, tomate, salsinha, cebolinha, c/ óleo, cebola e alho, s/ sal),  ; Rice with meat beef, with white rice, unsalted, (white rice, meat beef (shin), tomato, parsley, chives, with oil, onion and garlic, unsalted) 
151;C1027A ;Arroz com cenoura, c/ óleo, cebola e alho, c/ sal,  ; Rice with carrot, with oil, onion and garlic, with salt 
152;C1028A ;Arroz com cenoura, c/ óleo, cebola e alho, s/ sal,  ; Rice with carrot, with oil, onion and garlic, unsalted 
153;C0539A ;Arroz com coco, c/ arroz polido, c/ sal, (arroz polido, c/ coco e leite de coco, c/ óleo, cebola e alho, c/ sal),  ; Rice with coconut, with white rice, with salt, (white rice, with coconut milk and pulp, tomato, with oil, onion and garlic, with salt) 
154;C0540A ;Arroz com coco, c/ arroz polido, s/ sal, (arroz polido, c/ coco e leite de coco, c/ óleo, cebola e alho, s/ sal),  ; Rice with coconut, with white rice, unsalted, (white rice, with coconut milk and pulp, tomato, with oil, onion and garlic, unsalted) 
155;C0551A ;Arroz com couve, c/ arroz integral, c/ sal, (arroz integral, c/ couve, c/ óleo, cebola e alho, c/ sal),  ; Rice with collard green, with brown rice, with salt, (brown rice, with collard green, with oil, onion and garlic, with salt) 
156;C0552A ;Arroz com couve, c/ arroz integral, s/ sal, (arroz integral, c/ couve, c/ óleo, cebola e alho, s/ sal),  ; Rice with kale, with collard green, with brown rice, unsalted, (brown rice, with collard green, with oil, onion and garlic, unsalted) 
157;C0549A ;Arroz com couve, c/ arroz polido, c/ sal, (arroz polido, c/ couve, c/ óleo, cebola e alho, c/ sal),  ; Rice with collard green, with white rice, with salt, (white rice, with collard green with oil, onion and garlic, with salt) 
158;C0550A ;Arroz com couve, c/ arroz polido, s/ sal, (arroz polido, c/ couve, c/ óleo, cebola e alho, s/ sal),  ; Rice with collard green, with white rice, unsalted, (white rice, with collard green, with oil, onion and garlic, unsalted) 
159;C0934A ;Arroz com espinafre, c/ arroz integral, c/ sal (arroz integral, espinafre, c/ óleo de soja, c/ sal),  ; Rice with spinach, with brown rice, with salt, (brown rice, spinach, with soy oil, with salt) 
160;C0935A ;Arroz com espinafre, c/ arroz integral, s/ sal (arroz , alho espinafre, c/ óleo de soja, s/ sal),  ; Rice with spinach, with brown rice, unsalted, (brown rice, spinach, with soy oil, unsalted) 
161;C0932A ;Arroz com espinafre, c/ arroz polido, c/ sal (arroz polido, espinafre, c/ óleo de soja, c/ sal),  ; Rice with spinach, with white rice, with salt, (white rice, spinach, with soy oil, with salt) 
162;C0933A ;Arroz com espinafre, c/ arroz polido, s/ sal (arroz polido, espinafre, c/ óleo de soja, s/ sal),  ; Rice with spinach, with white rice, unsalted, (white rice, spinach, with soy oil, unsalted) 
163;C0724A ;Arroz com frango e pequi, c/ arroz integral, c/ sal, (arroz integral, frango, pequi, salsa, c/ óleo, cebola e alho, c/ pimenta-do-reino, c/ sal),  ; Brazilian recipe, with brown rice, with salt, (brown rice,chicken, brazilian fruit ´pequi´, parsley, with oil, onion and garlic, with black pepper, with salt) 
164;C0725A ;Arroz com frango e pequi, c/ arroz integral, s/ sal, (arroz integral, frango, pequi, salsa, c/ óleo, cebola e alho, c/ pimenta-do-reino, s/ sal),  ; Brazilian recipe, with brown rice, unsalted, (brown rice,chicken, brazilian fruit ´pequi´, parsley, with oil, onion and garlic, with black pepper, unsalted) 
